"ID";"TIP";"TipVehiculAsigurat";"Categ";"Marca";"Model";"Capacitate";"Putere";"Nr_locuri";"An_fabr";"Masa_max";"0"
"5057133";"RCA";"Inmatriculat";"Autoutilitara";"VOLVO";"FHA3C C3XA4F";"12777";"375";"2";"2011";"20000";"0"
"5069831";"RCA";"Inmatriculat";"Autoutilitara";"DAF";"H4SN3//FAR XF";"12902";"340";"2";"2013";"26500";"0"
"5070185";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF";"1390";"118";"5";"2008";"1840";"0"
"5072518";"RCA";"Inmatriculat";"Autoutilitara";"SCANIA";"124L420";"11705";"309";"2";"2003";"20500";"0"
"5084597";"RCA";"Inmatriculat";"Autoturism";"RENAULT";"LAGUNA";"1870";"74";"5";"2002";"1880";"0"
"5088871";"RCA";"Inmatriculat";"Autoturism";"FORD";"FOCUS";"1753";"74";"5";"2003";"1720";"0"
"5093372";"RCA";"Inmatriculat";"Autoturism";"AUDI";"A4";"1896";"85";"5";"2000";"1835";"0"
"5100107";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1968";"103";"5";"2004";"1910";"0"
"5115727";"RCA";"Inmatriculat";"Autoutilitara";"VOLVO";"FH";"12777";"109";"2";"2012";"19000";"0"
"5115770";"RCA";"Inmatriculat";"Autoutilitara";"VOLVO";"FH";"12777";"470";"2";"2012";"19000";"0"
"5118437";"RCA";"Inmatriculat";"Autoutilitara";"DAF";"XF105";"12902";"375";"2";"2009";"20500";"0"
"5119804";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES";"ACTROS";"11946";"320";"2";"2011";"19000";"0"
"5125465";"RCA";"Inmatriculat";"Autoturism";"BMW";"320";"1951";"100";"5";"2010";"1875";"0"
"5158281";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES";"ACTROS";"11946";"236";"2";"2014";"18000";"0"
"5161186";"RCA";"Inmatriculat";"Autoutilitara";"RENAULT";"MAGNUM 520";"12777";"390";"2";"2010";"19000";"0"
"5168744";"RCA";"Inmatriculat";"Autoutilitara";"MAN";"TGX";"10518";"324";"2";"2014";"18000";"0"
"5168807";"RCA";"Inmatriculat";"Autoutilitara";"MAN";"TGX";"10518";"265";"2";"2014";"18600";"0"
"5170066";"RCA";"Inmatriculat";"Autoturism";"AUDI";"A6";"1968";"100";"5";"2006";"2120";"0"
"5170119";"RCA";"Inmatriculat";"Autoturism";"PEUGEOT";"406";"1997";"66";"5";"2001";"1870";"0"
"5173563";"RCA";"Inmatriculat";"Autoutilitara";"VOLVO";"FH480";"12780";"353";"2";"2007";"18000";"0"
"5185295";"RCA";"Inmatriculat";"Autoturism";"SKODA";"OCTAVIA";"1896";"66";"5";"2000";"1875";"0"
"5185665";"RCA";"Inmatriculat";"Autoturism";"MERCEDES BENZ";"ML 320";"3199";"160";"5";"1998";"2724";"0"
"5194765";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF";"1896";"74";"5";"2002";"1760";"0"
"5200009";"RCA";"Inmatriculat";"Autoutilitara";"VOLVO";"FH 42";"12780";"324";"2";"2008";"18200";"0"
"5204548";"RCA";"Inmatriculat";"Autoturism";"OPEL";"VECTRA";"1796";"85";"5";"2000";"1830";"0"
"5213723";"RCA";"Inmatriculat";"Autoturism";"SKODA";"FABIA";"1390";"55";"5";"2004";"1646";"0"
"5224865";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ZAFIRA";"1995";"60";"7";"2001";"2065";"0"
"5226086";"RCA";"Inmatriculat";"Autoutilitara";"RENAULT";"PREMIUM 460 DXI";"10837";"346";"2";"2012";"19500";"0"
"5231263";"RCA";"Inmatriculat";"Autoturism";"MAZDA";"MAZDA 6";"1998";"89";"5";"2004";"2010";"0"
"5238614";"RCA";"Inmatriculat";"Autoturism";"FIAT";"STILO 1.9 JTD A";"1910";"85";"5";"2003";"1775";"0"
"5238784";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ZAFIRA";"1995";"74";"7";"2002";"2075";"0"
"5242623";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"PASSAT";"1968";"103";"5";"2007";"2060";"0"
"5244442";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA";"1686";"74";"5";"2000";"1855";"0"
"5260818";"RCA";"Inmatriculat";"Autoturism";"VW";"TOUAREG";"2967";"180";"5";"2011";"2500";"0"
"5268937";"RCA";"Inmatriculat";"Autoturism";"MERCEDES";"A 170 CDI";"1689";"70";"5";"2002";"1635";"0"
"5291980";"RCA";"Inmatriculat";"Autoturism";"VW";"PASSAT 1.9TDI BASIS";"1896";"74";"5";"1993";"1990";"0"
"5293061";"RCA";"Inmatriculat";"Autoturism";"BMW";"X6";"2993";"225";"5";"2012";"2710";"0"
"5293930";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"CADDY";"1896";"77";"7";"2005";"2251";"0"
"5313922";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES BENZ";"ACTROS";"11946";"320";"2";"2011";"18000";"0"
"5315463";"RCA";"Inmatriculat";"Autoturism";"FORD";"FOCUS";"1753";"74";"5";"2004";"1760";"0"
"5335264";"RCA";"Inmatriculat";"Autoturism";"OPEL";"CORSA";"1686";"74";"5";"2002";"1505";"0"
"5335817";"RCA";"Inmatriculat";"Autoturism";"VW";"POLO";"1390";"55";"5";"2003";"1560";"0"
"5344746";"RCA";"Inmatriculat";"Autobuz /autocar";"MERCEDES";"SPRINTER/TRITURO";"2143";"0";"24";"2014";"6150";"0"
"5344997";"RCA";"Inmatriculat";"Autobuz /autocar";"MERCEDES";"INTOURO";"7698";"0";"56";"2016";"19000";"0"
"5350277";"RCA";"Inmatriculat";"Autoturism";"OPEL";"VECTRA-B";"1598";"74";"5";"1996";"1730";"0"
"5358161";"RCA";"Inmatriculat";"Autoturism";"AUDI";"A4";"1595";"74";"5";"1995";"1735";"0"
"5360751";"RCA";"Inmatriculat";"Autoturism";"TOYOTA";"RAV4";"2231";"130";"5";"2005";"2190";"0"
"5372629";"RCA";"Inmatriculat";"Remorca / atas";"KOEGEL";"S24";"0";"0";"0";"2007";"39000";"0"
"5387503";"RCA";"Inmatriculat";"Autoturism";"RENAULT";"LAGUNA";"1461";"81";"5";"2008";"1936";"0"
"5418592";"RCA";"Inmatriculat";"Autoutilitara";"MAN";"TGA";"12419";"353";"2";"2006";"18000";"0"
"5420613";"RCA";"Inmatriculat";"Autoutilitara";"RENAULT ";"PREMIUM 460 DXI";"10837";"346";"2";"2011";"26000";"0"
"5438073";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1896";"74";"5";"2002";"1800";"0"
"5480997";"RCA";"Inmatriculat";"Autoturism";"FORD";"FOCUS";"1560";"80";"5";"2008";"1885";"0"
"5488302";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA-F-CARAVAN";"1700";"50";"5";"1997";"1630";"0"
"5507224";"RCA";"Inmatriculat";"Autoturism";"FIAT";"COUPE";"1995";"143";"5";"1995";"1690";"0"
"5515600";"RCA";"Inmatriculat";"Autoturism";"MERCEDES";"320CDI";"2987";"165";"6";"2000";"2895";"0"
"5539009";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LOGAN";"1461";"50";"5";"2007";"1600";"0"
"5555478";"RCA";"Inmatriculat";"Autoturism";"BMW";"318D";"1995";"105";"5";"2008";"1965";"0"
"5561003";"RCA";"Inmatriculat";"Autoturism";"SEAT";"IBIZA";"1390";"63";"5";"2009";"1526";"0"
"5584047";"RCA";"Inmatriculat";"Autoturism";"SAAB";"93";"2171";"92";"5";"2003";"2040";"0"
"5596563";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA";"1598";"76";"5";"2004";"1670";"0"
"5611148";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"TOUAREG";"2967";"150";"5";"2013";"2840";"0"
"5613609";"RCA";"Inmatriculat";"Autoturism";"TOYOTA";"COROLLA";"1398";"71";"5";"2000";"1580";"0"
"5619825";"RCA";"Inmatriculat";"Autoturism";"FORD";"FOCUS";"1999";"107";"5";"2005";"1895";"0"
"5626308";"RCA";"Inmatriculat";"Autoutilitara";"DAF";"XF105";"12902";"300";"0";"2009";"20500";"0"
"5629333";"RCA";"Inmatriculat";"Autoturism";"MAZDA";"BL";"2184";"136";"5";"2010";"1965";"0"
"5643663";"RCA";"Inmatriculat";"Autoutilitara";"IVECO";"STRALIS";"12882";"368";"2";"2009";"19000";"0"
"5663784";"RCA";"Inmatriculat";"Autoturism";"KIA";"SHUMA";"1498";"65";"5";"1999";"1590";"0"
"5690990";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1896";"66";"5";"2005";"1780";"0"
"5698093";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES BENZ";"VITO";"2151";"60";"3";"2003";"2700";"0"
"5700750";"RCA";"Inmatriculat";"Autoturism";"OPEL";"CORSA-C";"1199";"55";"5";"2002";"1455";"0"
"5706708";"RCA";"Inmatriculat";"Autoutilitara";"IVECO";"STRALIS";"10308";"332";"2";"2009";"18000";"0"
"5710139";"RCA";"Inmatriculat";"Autoturism";"RENAULT";"TWINGO";"1149";"43";"5";"1999";"1230";"0"
"5711900";"RCA";"Inmatriculat";"Autoutilitara";"SCANIA";"R420";"11705";"309";"2";"2007";"18600";"0"
"5711924";"RCA";"Inmatriculat";"Autoutilitara";"SCANIA";"R420";"11705";"309";"2";"2007";"18600";"0"
"5711972";"RCA";"Inmatriculat";"Autoutilitara";"SCANIA";"R420";"11705";"309";"2";"2011";"18600";"0"
"5740772";"RCA";"Inmatriculat";"Autoturism";"LAND ROVER";"RANGE ROVER SPORT";"2993";"215";"5";"2014";"3000";"0"
"5752867";"RCA";"Inmatriculat";"Autoturism";"SKODA";"FABIA";"1422";"51";"5";"2005";"1635";"0"
"5794471";"RCA";"Inmatriculat";"Autoturism";"VW";"PASSAT";"1896";"81";"5";"2004";"1870";"0"
"5800666";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LOGAN";"1390";"55";"5";"2007";"1535";"0"
"5811370";"RCA";"Inmatriculat";"Autoturism";"MERCEDES";"ML 280 CDI";"2987";"140";"5";"2007";"2830";"0"
"5815978";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1598";"77";"5";"2002";"1750";"0"
"5821290";"RCA";"Inmatriculat";"Autoturism";"AUDI";"A6";"1896";"77";"5";"2000";"2040";"0"
"5821711";"RCA";"Inmatriculat";"Autoutilitara";"IVECO";"STRALIS";"10308";"332";"2";"2000";"18000";"0"
"5874072";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA STATION WAGON";"1364";"66";"5";"2006";"1825";"0"
"5875016";"RCA";"Inmatriculat";"Autoturism";"BMW";"730D";"2993";"160";"5";"2002";"2480";"0"
