"ID";"tip";"data_Start";"data_End";"BM";"Prima";"valuta";"sumaAsig";"factorReducere";"factorMajorare";"data_emitere";"nrRate";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"3811851";"RCA";"2016-04-21";"2017-04-20";"B13";"235.12";"RON";"0";"Rural";;"2016-04-20";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3816018";"RCA";"2016-05-11";"2017-05-10";"B2";"9063.32";"RON";"0";"Fara";;"2016-04-21";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3816184";"RCA";"2016-05-11";"2017-05-10";"B2";"9063.32";"RON";"0";"Fara";;"2016-04-21";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3816220";"RCA";"2016-05-03";"2017-05-02";"M6";"12114.72";"RON";"0";"Fara";;"2016-04-21";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3847655";"RCA";"2016-05-09";"2017-05-08";"B2";"555.5";"RON";"0";"Fara";;"2016-04-28";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3857243";"RCA";"2016-04-30";"2016-10-29";"B3";"331.76";"RON";"0";"Fara";;"2016-04-29";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3859246";"RCA";"2016-05-10";"2017-05-09";"B2";"756.11";"RON";"0";"Fara";;"2016-05-03";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3860851";"RCA";"2016-05-06";"2017-05-05";"B6";"459.6";"RON";"0";"Fara";;"2016-05-03";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3884765";"RCA";"2016-05-13";"2017-05-12";"B2";"623.79";"RON";"0";"Pensionar";;"2016-05-09";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3891468";"RCA";"2016-05-12";"2017-05-11";"B2";"887.26";"RON";"0";"Rural";;"2016-05-10";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3930313";"RCA";"2016-05-23";"2017-05-22";"B6";"888.12";"RON";"0";"Rural";;"2016-05-19";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3933165";"RCA";"2016-05-21";"2016-06-20";"B0";"173";"RON";"0";"Fara";;"2016-05-20";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3942469";"RCA";"2016-05-24";"2017-05-23";"B0";"570.94";"RON";"0";"Rural";;"2016-05-23";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3942744";"RCA";"2016-05-25";"2017-05-24";"B2";"648.09";"RON";"0";"Fara";;"2016-05-23";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3967085";"RCA";"2016-06-07";"2017-06-06";"B13";"333.95";"RON";"0";"Pensionar";;"2016-05-31";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3980506";"RCA";"2016-06-04";"2017-06-03";"B2";"513.84";"RON";"0";"Fara";;"2016-06-03";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3996123";"RCA";"2016-06-11";"2017-06-10";"B14";"225.03";"RON";"0";"Pensionar";;"2016-06-09";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4012067";"RCA";"2016-06-15";"2017-06-14";"B2";"972.14";"RON";"0";"Fara";;"2016-06-14";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4104027";"RCA";"2016-07-12";"2017-07-11";"B14";"235.51";"RON";"0";"Pensionar";;"2016-07-10";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4114405";"RCA";"2016-07-13";"2016-08-11";"B0";"132";"RON";"0";"Rural";;"2016-07-13";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4135721";"RCA";"2016-07-19";"2017-01-18";"B2";"241.1";"RON";"0";"Fara";;"2016-07-18";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4147126";"RCA";"2016-07-29";"2017-07-28";"B3";"1611.47";"RON";"0";"Fara";;"2016-07-21";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4169429";"RCA";"2016-07-28";"2017-07-27";"B6";"523.35";"RON";"0";"Pensionar";;"2016-07-27";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4177524";"RCA";"2016-07-30";"2017-07-29";"B4";"351.47";"RON";"0";"Fara";;"2016-07-29";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4179513";"RCA";"2016-08-01";"2016-08-31";"B0";"132";"RON";"0";"Rural";;"2016-07-29";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4187603";"RCA";"2016-08-05";"2017-08-04";"B8";"816.11";"RON";"0";"Rural";;"2016-08-02";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4193640";"RCA";"2016-08-07";"2017-08-06";"B4";"405.96";"RON";"0";"Pensionar";;"2016-08-03";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4199880";"RCA";"2016-08-04";"2017-08-03";"B2";"534.67";"RON";"0";"Pensionar";;"2016-08-04";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4222460";"RCA";"2016-08-10";"2017-08-09";"B4";"390.14";"RON";"0";"Rural";;"2016-08-09";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4261610";"RCA";"2016-08-31";"2017-08-30";"B4";"875.08";"RON";"0";"Pensionar";;"2016-08-17";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4274293";"RCA";"2016-08-21";"2017-02-20";"B4";"579.94";"RON";"0";"Fara";;"2016-08-19";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4295565";"RCA";"2016-08-24";"2017-08-23";"B8";"673.29";"RON";"0";"Pensionar";;"2016-08-23";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4319842";"RCA";"2016-08-30";"2017-08-29";"B3";"381.52";"RON";"0";"Fara";;"2016-08-29";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4320949";"RCA";"2016-09-24";"2017-09-23";"B2";"648.09";"RON";"0";"Fara";;"2016-08-29";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4324770";"RCA";"2016-09-10";"2017-09-09";"M4";"576.72";"RON";"0";"Fara";;"2016-08-30";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4342765";"RCA";"2016-09-25";"2017-09-24";"B4";"269.37";"RON";"0";"Fara";;"2016-09-02";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
